id,text,metadata
27,I ate a sandwich for lunch.,"{'category': 'Not_Funny', 'length': 27, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
34,"My code works, I don't know why.","{'category': 'Not_Funny', 'length': 32, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
56,What did the terminal illness say to the doctor? This won't take long.,"{'category': 'Dark_Humor', 'length': 70, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
11,Why don't programmers like nature? It has too many bugs!,"{'category': 'Funny', 'length': 56, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
53,What's the difference between a developer and a homeless person? The developer has a MacBook.,"{'category': 'Dark_Humor', 'length': 93, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
4,How do you comfort a JavaScript bug? You console it!,"{'category': 'Funny', 'length': 52, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
85,[CONTENT_REMOVED: Offensive material],"{'category': 'Offensive', 'length': 37, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
21,Why don't programmers like nature? It has too many bugs!,"{'category': 'Funny', 'length': 56, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
54,Debug is like being the detective in a crime movie where you're also the murderer.,"{'category': 'Dark_Humor', 'length': 82, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
16,Why don't programmers like nature? It has too many bugs!,"{'category': 'Funny', 'length': 56, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
92,[CONTENT_REMOVED: Offensive stereotype],"{'category': 'Offensive', 'length': 39, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
95,[CONTENT_REMOVED: Offensive material],"{'category': 'Offensive', 'length': 37, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
23,What's a computer's favorite snack? Microchips!,"{'category': 'Funny', 'length': 47, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
60,"My code doesn't have bugs, it has random features.","{'category': 'Dark_Humor', 'length': 50, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
1,Why don't programmers like nature? It has too many bugs!,"{'category': 'Funny', 'length': 56, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
58,What's the difference between a developer and a homeless person? The developer has a MacBook.,"{'category': 'Dark_Humor', 'length': 93, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
64,Debug is like being the detective in a crime movie where you're also the murderer.,"{'category': 'Dark_Humor', 'length': 82, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
35,This is supposed to be funny but isn't.,"{'category': 'Not_Funny', 'length': 39, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
52,Why did the scarecrow win an award? Because he was outstanding in his field!,"{'category': 'Dark_Humor', 'length': 76, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
73,What's the difference between a developer and a homeless person? The developer has a MacBook.,"{'category': 'Dark_Humor', 'length': 93, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
89,[CONTENT_REMOVED: Harmful content],"{'category': 'Offensive', 'length': 34, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
7,Why did the function go to therapy? It had too many issues with its parent process.,"{'category': 'Funny', 'length': 83, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
5,Why did the developer quit his job? Because he didn't get arrays!,"{'category': 'Funny', 'length': 65, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
36,The weather is cloudy with clouds today.,"{'category': 'Not_Funny', 'length': 40, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
51,What did the terminal illness say to the doctor? This won't take long.,"{'category': 'Dark_Humor', 'length': 70, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
3,What's a computer's favorite snack? Microchips!,"{'category': 'Funny', 'length': 47, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
59,Debug is like being the detective in a crime movie where you're also the murderer.,"{'category': 'Dark_Humor', 'length': 82, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
71,What did the terminal illness say to the doctor? This won't take long.,"{'category': 'Dark_Humor', 'length': 70, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
43,The tree is brown and has leaves.,"{'category': 'Not_Funny', 'length': 33, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
93,[CONTENT_REMOVED: Inappropriate content],"{'category': 'Offensive', 'length': 40, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
41,The weather is cloudy with clouds today.,"{'category': 'Not_Funny', 'length': 40, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
68,What's the difference between a developer and a homeless person? The developer has a MacBook.,"{'category': 'Dark_Humor', 'length': 93, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
14,How do you comfort a JavaScript bug? You console it!,"{'category': 'Funny', 'length': 52, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
19,How do you comfort a JavaScript bug? You console it!,"{'category': 'Funny', 'length': 52, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
90,[CONTENT_REMOVED: Offensive material],"{'category': 'Offensive', 'length': 37, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
15,Why did the developer quit his job? Because he didn't get arrays!,"{'category': 'Funny', 'length': 65, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
44,"My code works, I don't know why.","{'category': 'Not_Funny', 'length': 32, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
79,[CONTENT_REMOVED: Harmful content],"{'category': 'Offensive', 'length': 34, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
37,I ate a sandwich for lunch.,"{'category': 'Not_Funny', 'length': 27, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
49,"My code works, I don't know why.","{'category': 'Not_Funny', 'length': 32, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
78,[CONTENT_REMOVED: Inappropriate content],"{'category': 'Offensive', 'length': 40, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
91,[CONTENT_REMOVED: Inappropriate joke about protected groups],"{'category': 'Offensive', 'length': 60, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
29,"My code works, I don't know why.","{'category': 'Not_Funny', 'length': 32, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
28,The tree is brown and has leaves.,"{'category': 'Not_Funny', 'length': 33, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
96,[CONTENT_REMOVED: Inappropriate joke about protected groups],"{'category': 'Offensive', 'length': 60, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
97,[CONTENT_REMOVED: Offensive stereotype],"{'category': 'Offensive', 'length': 39, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
65,"My code doesn't have bugs, it has random features.","{'category': 'Dark_Humor', 'length': 50, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
48,The tree is brown and has leaves.,"{'category': 'Not_Funny', 'length': 33, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
84,[CONTENT_REMOVED: Harmful content],"{'category': 'Offensive', 'length': 34, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
61,What did the terminal illness say to the doctor? This won't take long.,"{'category': 'Dark_Humor', 'length': 70, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
82,[CONTENT_REMOVED: Offensive stereotype],"{'category': 'Offensive', 'length': 39, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
81,[CONTENT_REMOVED: Inappropriate joke about protected groups],"{'category': 'Offensive', 'length': 60, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
62,Why did the scarecrow win an award? Because he was outstanding in his field!,"{'category': 'Dark_Humor', 'length': 76, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
86,[CONTENT_REMOVED: Inappropriate joke about protected groups],"{'category': 'Offensive', 'length': 60, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
80,[CONTENT_REMOVED: Offensive material],"{'category': 'Offensive', 'length': 37, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
2,Why did the function go to therapy? It had too many issues with its parent process.,"{'category': 'Funny', 'length': 83, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
98,[CONTENT_REMOVED: Inappropriate content],"{'category': 'Offensive', 'length': 40, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
47,I ate a sandwich for lunch.,"{'category': 'Not_Funny', 'length': 27, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
20,Why did the developer quit his job? Because he didn't get arrays!,"{'category': 'Funny', 'length': 65, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
33,The tree is brown and has leaves.,"{'category': 'Not_Funny', 'length': 33, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
69,Debug is like being the detective in a crime movie where you're also the murderer.,"{'category': 'Dark_Humor', 'length': 82, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
18,What's a computer's favorite snack? Microchips!,"{'category': 'Funny', 'length': 47, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
40,This is supposed to be funny but isn't.,"{'category': 'Not_Funny', 'length': 39, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
42,I ate a sandwich for lunch.,"{'category': 'Not_Funny', 'length': 27, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
57,Why did the scarecrow win an award? Because he was outstanding in his field!,"{'category': 'Dark_Humor', 'length': 76, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
26,The weather is cloudy with clouds today.,"{'category': 'Not_Funny', 'length': 40, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
55,"My code doesn't have bugs, it has random features.","{'category': 'Dark_Humor', 'length': 50, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
6,Why don't programmers like nature? It has too many bugs!,"{'category': 'Funny', 'length': 56, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
50,This is supposed to be funny but isn't.,"{'category': 'Not_Funny', 'length': 39, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
63,What's the difference between a developer and a homeless person? The developer has a MacBook.,"{'category': 'Dark_Humor', 'length': 93, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
77,[CONTENT_REMOVED: Offensive stereotype],"{'category': 'Offensive', 'length': 39, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
70,"My code doesn't have bugs, it has random features.","{'category': 'Dark_Humor', 'length': 50, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
45,This is supposed to be funny but isn't.,"{'category': 'Not_Funny', 'length': 39, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
24,How do you comfort a JavaScript bug? You console it!,"{'category': 'Funny', 'length': 52, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
100,[CONTENT_REMOVED: Offensive material],"{'category': 'Offensive', 'length': 37, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
94,[CONTENT_REMOVED: Harmful content],"{'category': 'Offensive', 'length': 34, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
32,I ate a sandwich for lunch.,"{'category': 'Not_Funny', 'length': 27, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
13,What's a computer's favorite snack? Microchips!,"{'category': 'Funny', 'length': 47, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
9,How do you comfort a JavaScript bug? You console it!,"{'category': 'Funny', 'length': 52, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
10,Why did the developer quit his job? Because he didn't get arrays!,"{'category': 'Funny', 'length': 65, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
46,The weather is cloudy with clouds today.,"{'category': 'Not_Funny', 'length': 40, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
87,[CONTENT_REMOVED: Offensive stereotype],"{'category': 'Offensive', 'length': 39, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
67,Why did the scarecrow win an award? Because he was outstanding in his field!,"{'category': 'Dark_Humor', 'length': 76, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
22,Why did the function go to therapy? It had too many issues with its parent process.,"{'category': 'Funny', 'length': 83, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
83,[CONTENT_REMOVED: Inappropriate content],"{'category': 'Offensive', 'length': 40, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
38,The tree is brown and has leaves.,"{'category': 'Not_Funny', 'length': 33, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
39,"My code works, I don't know why.","{'category': 'Not_Funny', 'length': 32, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
17,Why did the function go to therapy? It had too many issues with its parent process.,"{'category': 'Funny', 'length': 83, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
74,Debug is like being the detective in a crime movie where you're also the murderer.,"{'category': 'Dark_Humor', 'length': 82, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
31,The weather is cloudy with clouds today.,"{'category': 'Not_Funny', 'length': 40, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
12,Why did the function go to therapy? It had too many issues with its parent process.,"{'category': 'Funny', 'length': 83, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
76,[CONTENT_REMOVED: Inappropriate joke about protected groups],"{'category': 'Offensive', 'length': 60, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
72,Why did the scarecrow win an award? Because he was outstanding in his field!,"{'category': 'Dark_Humor', 'length': 76, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
25,Why did the developer quit his job? Because he didn't get arrays!,"{'category': 'Funny', 'length': 65, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
99,[CONTENT_REMOVED: Harmful content],"{'category': 'Offensive', 'length': 34, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
88,[CONTENT_REMOVED: Inappropriate content],"{'category': 'Offensive', 'length': 40, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
75,"My code doesn't have bugs, it has random features.","{'category': 'Dark_Humor', 'length': 50, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
66,What did the terminal illness say to the doctor? This won't take long.,"{'category': 'Dark_Humor', 'length': 70, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
30,This is supposed to be funny but isn't.,"{'category': 'Not_Funny', 'length': 39, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
8,What's a computer's favorite snack? Microchips!,"{'category': 'Funny', 'length': 47, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
